['unknwon', 'process', '10.1.80.1:55873', 'socket', 'RESPONSE', 1727688682389143, '']
['10.1.80.1:38644', 'socket', 'unknwon', 'process', 'GET', 1727688682561900, '']
['10.1.80.1:55873', 'socket', 'unknwon', 'process', 'GET', 1727688682388951, '']
['10.1.80.1:38642', 'socket', 'unknwon', 'process', 'GET', 1727688682562084, '']
['unknwon', 'process', '10.1.80.1:38644', 'socket', 'RESPONSE', 1727688682562164, '']
['10.1.80.1:37576', 'socket', 'unknwon', 'process', 'GET', 1727688682651909, '']
['unknwon', 'process', '10.1.80.1:37576', 'socket', 'RESPONSE', 1727688682652413, '']
['10.1.80.1:55872', 'socket', 'unknwon', 'process', 'GET', 1727688682388646, '']
['unknwon', 'process', '10.1.80.1:38642', 'socket', 'RESPONSE', 1727688682562235, '']
['unknwon', 'process', '10.1.80.1:55872', 'socket', 'RESPONSE', 1727688682388866, '']
['10.1.80.1:37574', 'socket', 'unknwon', 'process', 'GET', 1727688682652611, '']
['unknwon', 'process', '10.1.80.1:37574', 'socket', 'RESPONSE', 1727688682652745, '']
['10.1.80.1:39135', 'socket', 'unknwon', 'process', 'GET', 1727688682789402, '']
['unknwon', 'process', '10.1.80.1:39135', 'socket', 'RESPONSE', 1727688682789589, '']
['10.1.80.1:39134', 'socket', 'unknwon', 'process', 'GET', 1727688682790083, '']
['unknwon', 'process', '10.1.80.1:39134', 'socket', 'RESPONSE', 1727688682790178, '']
['10.1.80.1:55906', 'socket', 'unknwon', 'process', 'GET', 1727688684389430, '']
['10.1.80.1:55904', 'socket', 'unknwon', 'process', 'GET', 1727688684389732, '']
['unknwon', 'process', '10.1.80.1:55904', 'socket', 'RESPONSE', 1727688684390464, '']
['unknwon', 'process', '10.1.80.1:55906', 'socket', 'RESPONSE', 1727688684390722, '']
['10.1.80.1:38676', 'socket', 'unknwon', 'process', 'GET', 1727688684563526, '']
['unknwon', 'process', '10.1.80.1:38676', 'socket', 'RESPONSE', 1727688684563722, '']
['10.1.80.1:38674', 'socket', 'unknwon', 'process', 'GET', 1727688684563807, '']
['unknwon', 'process', '10.1.80.1:38674', 'socket', 'RESPONSE', 1727688684563877, '']
['10.1.80.1:37606', 'socket', 'unknwon', 'process', 'GET', 1727688684652915, '']
['unknwon', 'process', '10.1.80.1:37606', 'socket', 'RESPONSE', 1727688684653132, '']
['10.1.80.1:37608', 'socket', 'unknwon', 'process', 'GET', 1727688684653218, '']
['unknwon', 'process', '10.1.80.1:37608', 'socket', 'RESPONSE', 1727688684653289, '']
['10.1.80.1:39164', 'socket', 'unknwon', 'process', 'GET', 1727688684790411, '']
['unknwon', 'process', '10.1.80.1:39164', 'socket', 'RESPONSE', 1727688684790602, '']
['10.1.80.1:39162', 'socket', 'unknwon', 'process', 'GET', 1727688684790710, '']
['unknwon', 'process', '10.1.80.1:39162', 'socket', 'RESPONSE', 1727688684790782, '']
['10.1.80.1:55933', 'socket', 'unknwon', 'process', 'GET', 1727688686388712, '']
['10.1.80.1:55932', 'socket', 'unknwon', 'process', 'GET', 1727688686389449, '']
['unknwon', 'process', '10.1.80.1:55933', 'socket', 'RESPONSE', 1727688686388894, '']
['unknwon', 'process', '10.1.80.1:55932', 'socket', 'RESPONSE', 1727688686389729, '']
['10.1.80.1:38704', 'socket', 'unknwon', 'process', 'GET', 1727688686561855, '']
['unknwon', 'process', '10.1.80.1:38704', 'socket', 'RESPONSE', 1727688686562058, '']
['10.1.80.1:38702', 'socket', 'unknwon', 'process', 'GET', 1727688686562143, '']
['unknwon', 'process', '10.1.80.1:38702', 'socket', 'RESPONSE', 1727688686562211, '']
['10.1.80.1:37634', 'socket', 'unknwon', 'process', 'GET', 1727688686651276, '']
['unknwon', 'process', '10.1.80.1:37634', 'socket', 'RESPONSE', 1727688686651519, '']
['10.1.80.1:37635', 'socket', 'unknwon', 'process', 'GET', 1727688686651825, '']
['unknwon', 'process', '10.1.80.1:37635', 'socket', 'RESPONSE', 1727688686652007, '']
['10.1.80.1:39191', 'socket', 'unknwon', 'process', 'GET', 1727688686789548, '']
['unknwon', 'process', '10.1.80.1:39191', 'socket', 'RESPONSE', 1727688686789739, '']
['10.1.80.1:39190', 'socket', 'unknwon', 'process', 'GET', 1727688686789823, '']
['unknwon', 'process', '10.1.80.1:39190', 'socket', 'RESPONSE', 1727688686789893, '']
['10.1.80.1:55958', 'socket', 'unknwon', 'process', 'GET', 1727688688389632, '']
['unknwon', 'process', '10.1.80.1:55958', 'socket', 'RESPONSE', 1727688688389782, '']
['10.1.80.1:55959', 'socket', 'unknwon', 'process', 'GET', 1727688688390021, '']
['unknwon', 'process', '10.1.80.1:55959', 'socket', 'RESPONSE', 1727688688390295, '']
['10.1.80.1:38728', 'socket', 'unknwon', 'process', 'GET', 1727688688561421, '']
['10.1.80.1:38729', 'socket', 'unknwon', 'process', 'GET', 1727688688561678, '']
['unknwon', 'process', '10.1.80.1:38729', 'socket', 'RESPONSE', 1727688688562001, '']
['unknwon', 'process', '10.1.80.1:38728', 'socket', 'RESPONSE', 1727688688562121, '']
['10.1.80.1:37660', 'socket', 'unknwon', 'process', 'GET', 1727688688651821, '']
['unknwon', 'process', '10.1.80.1:37660', 'socket', 'RESPONSE', 1727688688652014, '']
['10.1.80.1:37661', 'socket', 'unknwon', 'process', 'GET', 1727688688652180, '']
['unknwon', 'process', '10.1.80.1:37661', 'socket', 'RESPONSE', 1727688688652320, '']
['10.1.80.1:39217', 'socket', 'unknwon', 'process', 'GET', 1727688688789559, '']
['unknwon', 'process', '10.1.80.1:39217', 'socket', 'RESPONSE', 1727688688789744, '']
