['10.1.80.1:37554', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727659880650764, 'unknown']
['10.1.80.1:37556', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727659880651091, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:37556', 'socket', 'write', 1727659880651511, 'unknown']
['10.1.80.1:39110', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727659880789408, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:37554', 'socket', 'write', 1727659880651534, 'unknown']
['10.1.80.1:39112', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727659880789451, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:39112', 'socket', 'write', 1727659880789770, 'unknown']
['10.1.80.1:55872', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727659882388509, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:39110', 'socket', 'write', 1727659880789885, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:55872', 'socket', 'write', 1727659882388659, 'unknown']
['10.1.80.1:55873', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727659882388718, 'unknown']
['10.1.80.1:38644', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727659882561479, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:55873', 'socket', 'write', 1727659882389109, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:38644', 'socket', 'write', 1727659882561632, 'unknown']
['10.1.80.1:38642', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727659882561691, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:38642', 'socket', 'write', 1727659882561753, 'unknown']
['10.1.80.1:37574', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727659882650981, 'unknown']
['10.1.80.1:37576', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727659882651345, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:37576', 'socket', 'write', 1727659882652352, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:37574', 'socket', 'write', 1727659882652720, 'unknown']
['10.1.80.1:39134', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727659882789239, 'unknown']
['10.1.80.1:39135', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727659882789275, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:39135', 'socket', 'write', 1727659882789431, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:39134', 'socket', 'write', 1727659882789991, 'unknown']
['10.1.80.1:55904', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727659884390062, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:55904', 'socket', 'write', 1727659884390191, 'unknown']
['10.1.80.1:55906', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727659884390254, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:55906', 'socket', 'write', 1727659884390619, 'unknown']
['10.1.80.1:38674', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727659884561487, 'unknown']
['10.1.80.1:38676', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727659884561747, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:38676', 'socket', 'write', 1727659884562067, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:38674', 'socket', 'write', 1727659884562283, 'unknown']
['10.1.80.1:37606', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727659884651366, 'unknown']
['10.1.80.1:37608', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727659884651658, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:37606', 'socket', 'write', 1727659884652138, 'unknown']
['10.1.80.1:39162', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727659884789670, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:37608', 'socket', 'write', 1727659884652326, 'unknown']
['10.1.80.1:39164', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727659884790072, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:39164', 'socket', 'write', 1727659884790492, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:39162', 'socket', 'write', 1727659884790728, 'unknown']
['10.1.80.1:55933', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727659886388272, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:55933', 'socket', 'write', 1727659886388450, 'unknown']
['10.1.80.1:55932', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727659886388529, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:55932', 'socket', 'write', 1727659886389673, 'unknown']
['10.1.80.1:38702', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727659886561467, 'unknown']
['10.1.80.1:38704', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727659886561615, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:38704', 'socket', 'write', 1727659886561863, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:38702', 'socket', 'write', 1727659886562096, 'unknown']
['10.1.80.1:37634', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727659886651298, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:37634', 'socket', 'write', 1727659886651521, 'unknown']
['10.1.80.1:37635', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727659886651578, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:37635', 'socket', 'write', 1727659886651945, 'unknown']
['10.1.80.1:39190', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727659886789431, 'unknown']
['10.1.80.1:39191', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727659886789446, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:39191', 'socket', 'write', 1727659886789585, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:39190', 'socket', 'write', 1727659886789853, 'unknown']
['10.1.80.1:55958', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727659888389284, 'unknown']
['10.1.80.1:55959', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727659888389300, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:55958', 'socket', 'write', 1727659888389495, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:55959', 'socket', 'write', 1727659888390258, 'unknown']
['10.1.80.1:38729', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727659888561185, 'unknown']
['10.1.80.1:38728', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727659888561202, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:38729', 'socket', 'write', 1727659888561895, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:38728', 'socket', 'write', 1727659888561927, 'unknown']
['10.1.80.1:37661', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727659888651732, 'unknown']
['10.1.80.1:37660', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727659888651750, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:37660', 'socket', 'write', 1727659888651903, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:37661', 'socket', 'write', 1727659888652303, 'unknown']
['10.1.80.1:39217', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727659888789471, 'unknown']
['10.1.80.1:39216', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727659888789453, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:39217', 'socket', 'write', 1727659888789583, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:39216', 'socket', 'write', 1727659888789943, 'unknown']
['10.1.80.1:55990', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727659890389348, 'unknown']
['10.1.80.1:55991', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727659890389391, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:55991', 'socket', 'write', 1727659890389545, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:55990', 'socket', 'write', 1727659890390077, 'unknown']
