['10.1.80.1:40072', 'socket', 'unknwon', 'process', 'GET', 1727688852651726, '']
['10.1.80.1:58370', 'socket', 'unknwon', 'process', 'GET', 1727688852389251, '']
['10.1.80.1:41140', 'socket', 'unknwon', 'process', 'GET', 1727688852562931, '']
['unknwon', 'process', '10.1.80.1:41140', 'socket', 'RESPONSE', 1727688852568956, '']
['unknwon', 'process', '10.1.80.1:58372', 'socket', 'RESPONSE', 1727688852397496, '']
['unknwon', 'process', '10.1.80.1:40072', 'socket', 'RESPONSE', 1727688852651907, '']
['unknwon', 'process', '10.1.80.1:41141', 'socket', 'RESPONSE', 1727688852562544, '']
['unknwon', 'process', '10.1.80.1:58370', 'socket', 'RESPONSE', 1727688852389488, '']
['10.1.80.1:58372', 'socket', 'unknwon', 'process', 'GET', 1727688852389928, '']
['10.1.80.1:41141', 'socket', 'unknwon', 'process', 'GET', 1727688852561972, '']
['10.1.80.1:40073', 'socket', 'unknwon', 'process', 'GET', 1727688852651986, '']
['unknwon', 'process', '10.1.80.1:40073', 'socket', 'RESPONSE', 1727688852652121, '']
['10.1.80.1:41632', 'socket', 'unknwon', 'process', 'GET', 1727688852789472, '']
['unknwon', 'process', '10.1.80.1:41632', 'socket', 'RESPONSE', 1727688852789656, '']
['10.1.80.1:41634', 'socket', 'unknwon', 'process', 'GET', 1727688852789784, '']
['unknwon', 'process', '10.1.80.1:41634', 'socket', 'RESPONSE', 1727688852789916, '']
['10.1.80.1:58406', 'socket', 'unknwon', 'process', 'GET', 1727688854389571, '']
['unknwon', 'process', '10.1.80.1:58406', 'socket', 'RESPONSE', 1727688854389742, '']
['10.1.80.1:58404', 'socket', 'unknwon', 'process', 'GET', 1727688854389821, '']
['unknwon', 'process', '10.1.80.1:58404', 'socket', 'RESPONSE', 1727688854389887, '']
['10.1.80.1:41176', 'socket', 'unknwon', 'process', 'GET', 1727688854561344, '']
['10.1.80.1:41178', 'socket', 'unknwon', 'process', 'GET', 1727688854561553, '']
['unknwon', 'process', '10.1.80.1:41178', 'socket', 'RESPONSE', 1727688854561643, '']
['unknwon', 'process', '10.1.80.1:41176', 'socket', 'RESPONSE', 1727688854561707, '']
['10.1.80.1:40108', 'socket', 'unknwon', 'process', 'GET', 1727688854651616, '']
['10.1.80.1:40109', 'socket', 'unknwon', 'process', 'GET', 1727688854651876, '']
['unknwon', 'process', '10.1.80.1:40108', 'socket', 'RESPONSE', 1727688854652008, '']
['unknwon', 'process', '10.1.80.1:40109', 'socket', 'RESPONSE', 1727688854652088, '']
['10.1.80.1:41664', 'socket', 'unknwon', 'process', 'GET', 1727688854790126, '']
['unknwon', 'process', '10.1.80.1:41664', 'socket', 'RESPONSE', 1727688854790319, '']
['10.1.80.1:41665', 'socket', 'unknwon', 'process', 'GET', 1727688854790644, '']
['unknwon', 'process', '10.1.80.1:41665', 'socket', 'RESPONSE', 1727688854790777, '']
['10.1.80.1:58430', 'socket', 'unknwon', 'process', 'GET', 1727688856388380, '']
['unknwon', 'process', '10.1.80.1:58430', 'socket', 'RESPONSE', 1727688856388589, '']
['10.1.80.1:58431', 'socket', 'unknwon', 'process', 'GET', 1727688856388726, '']
['unknwon', 'process', '10.1.80.1:58431', 'socket', 'RESPONSE', 1727688856388804, '']
['10.1.80.1:41201', 'socket', 'unknwon', 'process', 'GET', 1727688856560946, '']
['unknwon', 'process', '10.1.80.1:41201', 'socket', 'RESPONSE', 1727688856561230, '']
['10.1.80.1:41200', 'socket', 'unknwon', 'process', 'GET', 1727688856561410, '']
['unknwon', 'process', '10.1.80.1:41200', 'socket', 'RESPONSE', 1727688856561555, '']
['10.1.80.1:40132', 'socket', 'unknwon', 'process', 'GET', 1727688856650835, '']
['unknwon', 'process', '10.1.80.1:40132', 'socket', 'RESPONSE', 1727688856651245, '']
['10.1.80.1:40133', 'socket', 'unknwon', 'process', 'GET', 1727688856651389, '']
['unknwon', 'process', '10.1.80.1:40133', 'socket', 'RESPONSE', 1727688856651674, '']
['10.1.80.1:41690', 'socket', 'unknwon', 'process', 'GET', 1727688856789655, '']
['10.1.80.1:41688', 'socket', 'unknwon', 'process', 'GET', 1727688856790038, '']
['unknwon', 'process', '10.1.80.1:41690', 'socket', 'RESPONSE', 1727688856794082, '']
['unknwon', 'process', '10.1.80.1:41688', 'socket', 'RESPONSE', 1727688856795547, '']
['10.1.80.1:58457', 'socket', 'unknwon', 'process', 'GET', 1727688858389047, '']
['unknwon', 'process', '10.1.80.1:58457', 'socket', 'RESPONSE', 1727688858389274, '']
['10.1.80.1:58456', 'socket', 'unknwon', 'process', 'GET', 1727688858389564, '']
['unknwon', 'process', '10.1.80.1:58456', 'socket', 'RESPONSE', 1727688858389669, '']
['10.1.80.1:41226', 'socket', 'unknwon', 'process', 'GET', 1727688858561412, '']
['10.1.80.1:41227', 'socket', 'unknwon', 'process', 'GET', 1727688858561788, '']
['unknwon', 'process', '10.1.80.1:41226', 'socket', 'RESPONSE', 1727688858561606, '']
['unknwon', 'process', '10.1.80.1:41227', 'socket', 'RESPONSE', 1727688858561927, '']
['10.1.80.1:40158', 'socket', 'unknwon', 'process', 'GET', 1727688858651651, '']
['unknwon', 'process', '10.1.80.1:40158', 'socket', 'RESPONSE', 1727688858651839, '']
['10.1.80.1:40159', 'socket', 'unknwon', 'process', 'GET', 1727688858651917, '']
['unknwon', 'process', '10.1.80.1:40159', 'socket', 'RESPONSE', 1727688858651990, '']
['10.1.80.1:41714', 'socket', 'unknwon', 'process', 'GET', 1727688858789530, '']
['unknwon', 'process', '10.1.80.1:41714', 'socket', 'RESPONSE', 1727688858789926, '']
['10.1.80.1:41716', 'socket', 'unknwon', 'process', 'GET', 1727688858790164, '']
['unknwon', 'process', '10.1.80.1:41716', 'socket', 'RESPONSE', 1727688858791669, '']
