sourceId,sourceType,destinationId,destinationType,action,timestamp,processName
10.1.80.247:59564,socket,unknown,process,POST,1727687757969244,4446b6ed
unknwon,process,gateway:8080,socket,POST,1727687758332503,4446b6ed
unknwon,process,10.1.80.247:8080,socket,POST,1727687758332562,4446b6ed
10.1.80.247:33284,socket,unknown,process,POST,1727687758338174,4446b6ed
unknwon,process,10.1.80.247:33284,socket,RESPONSE,1727687758460281,4446b6ed
10.1.80.247:8080,socket,unknown,process,RESPONSE,1727687758460914,4446b6ed
gateway:8080,socket,unknown,process,RESPONSE,1727687758461055,4446b6ed
unknwon,process,10.1.80.247:59564,socket,RESPONSE,1727687758467071,4446b6ed
10.1.80.247:33332,socket,unknown,process,POST,1727687758520177,4446b6ed
unknwon,process,10.1.80.247:33332,socket,RESPONSE,1727687758530522,4446b6ed
