['10.1.80.1:53470', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658952789697, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:53470', 'socket', 'write', 1727658952789812, 'unknown']
['10.1.80.1:53468', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658952789872, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:53468', 'socket', 'write', 1727658952789930, 'unknown']
['10.1.80.1:42008', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658954388584, 'unknown']
['10.1.80.1:42006', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658954388600, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:42006', 'socket', 'write', 1727658954388773, 'unknown']
['10.1.80.1:53008', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658954561616, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:42008', 'socket', 'write', 1727658954389173, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:53008', 'socket', 'write', 1727658954561749, 'unknown']
['10.1.80.1:53009', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658954561804, 'unknown']
['10.1.80.1:51940', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658954651688, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:53009', 'socket', 'write', 1727658954562100, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:51940', 'socket', 'write', 1727658954651884, 'unknown']
['10.1.80.1:51942', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658954651955, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:51942', 'socket', 'write', 1727658954652259, 'unknown']
['10.1.80.1:53496', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658954789392, 'unknown']
['10.1.80.1:53498', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658954789709, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:53498', 'socket', 'write', 1727658954790396, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:53496', 'socket', 'write', 1727658954790893, 'unknown']
['10.1.80.1:42030', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658956390790, 'unknown']
