['10.1.80.1:36068', 'socket', 'unknwon', 'process', 'GET', 1727686766561267, '']
['unknwon', 'process', '10.1.80.1:36068', 'socket', 'RESPONSE', 1727686766561451, '']
['unknwon', 'process', '10.1.80.1:53299', 'socket', 'RESPONSE', 1727686766390188, '']
['unknwon', 'process', '10.1.80.1:53298', 'socket', 'RESPONSE', 1727686766389631, '']
['10.1.80.1:53299', 'socket', 'unknwon', 'process', 'GET', 1727686766389915, '']
['10.1.80.1:36069', 'socket', 'unknwon', 'process', 'GET', 1727686766561537, '']
['10.1.80.1:53298', 'socket', 'unknwon', 'process', 'GET', 1727686766389451, '']
['unknwon', 'process', '10.1.80.1:36069', 'socket', 'RESPONSE', 1727686766561607, '']
['10.1.80.1:35000', 'socket', 'unknwon', 'process', 'GET', 1727686766651539, '']
['unknwon', 'process', '10.1.80.1:35000', 'socket', 'RESPONSE', 1727686766651721, '']
['10.1.80.1:35001', 'socket', 'unknwon', 'process', 'GET', 1727686766652018, '']
['10.1.80.1:36556', 'socket', 'unknwon', 'process', 'GET', 1727686766789713, '']
['unknwon', 'process', '10.1.80.1:35001', 'socket', 'RESPONSE', 1727686766652111, '']
['unknwon', 'process', '10.1.80.1:36556', 'socket', 'RESPONSE', 1727686766789895, '']
['10.1.80.1:36557', 'socket', 'unknwon', 'process', 'GET', 1727686766789977, '']
['unknwon', 'process', '10.1.80.1:36557', 'socket', 'RESPONSE', 1727686766790100, '']
['10.1.80.1:53327', 'socket', 'unknwon', 'process', 'GET', 1727686768389398, '']
['unknwon', 'process', '10.1.80.1:53327', 'socket', 'RESPONSE', 1727686768389579, '']
['10.1.80.1:53326', 'socket', 'unknwon', 'process', 'GET', 1727686768389940, '']
['unknwon', 'process', '10.1.80.1:53326', 'socket', 'RESPONSE', 1727686768390250, '']
['10.1.80.1:36100', 'socket', 'unknwon', 'process', 'GET', 1727686768562593, '']
['10.1.80.1:36098', 'socket', 'unknwon', 'process', 'GET', 1727686768562778, '']
['unknwon', 'process', '10.1.80.1:36100', 'socket', 'RESPONSE', 1727686768562861, '']
['unknwon', 'process', '10.1.80.1:36098', 'socket', 'RESPONSE', 1727686768562935, '']
['10.1.80.1:35056', 'socket', 'unknwon', 'process', 'GET', 1727686768650601, '']
['10.1.80.1:35058', 'socket', 'unknwon', 'process', 'GET', 1727686768650917, '']
['unknwon', 'process', '10.1.80.1:35056', 'socket', 'RESPONSE', 1727686768656681, '']
['unknwon', 'process', '10.1.80.1:35058', 'socket', 'RESPONSE', 1727686768658044, '']
['10.1.80.1:36678', 'socket', 'unknwon', 'process', 'GET', 1727686768790281, '']
['10.1.80.1:36676', 'socket', 'unknwon', 'process', 'GET', 1727686768790407, '']
['unknwon', 'process', '10.1.80.1:36676', 'socket', 'RESPONSE', 1727686768792335, '']
['unknwon', 'process', '10.1.80.1:36678', 'socket', 'RESPONSE', 1727686768792446, '']
['10.1.80.1:53861', 'socket', 'unknwon', 'process', 'GET', 1727686770388597, '']
['10.1.80.1:53860', 'socket', 'unknwon', 'process', 'GET', 1727686770388857, '']
['unknwon', 'process', '10.1.80.1:53860', 'socket', 'RESPONSE', 1727686770389014, '']
['unknwon', 'process', '10.1.80.1:53861', 'socket', 'RESPONSE', 1727686770389168, '']
['10.1.80.1:36631', 'socket', 'unknwon', 'process', 'GET', 1727686770561747, '']
['unknwon', 'process', '10.1.80.1:36631', 'socket', 'RESPONSE', 1727686770561931, '']
['10.1.80.1:36630', 'socket', 'unknwon', 'process', 'GET', 1727686770562013, '']
['unknwon', 'process', '10.1.80.1:36630', 'socket', 'RESPONSE', 1727686770562192, '']
['10.1.80.1:35564', 'socket', 'unknwon', 'process', 'GET', 1727686770650771, '']
['unknwon', 'process', '10.1.80.1:35564', 'socket', 'RESPONSE', 1727686770651127, '']
['10.1.80.1:35565', 'socket', 'unknwon', 'process', 'GET', 1727686770651261, '']
['unknwon', 'process', '10.1.80.1:35565', 'socket', 'RESPONSE', 1727686770651339, '']
['10.1.80.1:37120', 'socket', 'unknwon', 'process', 'GET', 1727686770790045, '']
['unknwon', 'process', '10.1.80.1:37120', 'socket', 'RESPONSE', 1727686770790414, '']
['10.1.80.1:37121', 'socket', 'unknwon', 'process', 'GET', 1727686770790504, '']
['unknwon', 'process', '10.1.80.1:37121', 'socket', 'RESPONSE', 1727686770790577, '']
['10.1.80.1:53882', 'socket', 'unknwon', 'process', 'GET', 1727686772388457, '']
['unknwon', 'process', '10.1.80.1:53882', 'socket', 'RESPONSE', 1727686772388648, '']
['10.1.80.1:53883', 'socket', 'unknwon', 'process', 'GET', 1727686772388730, '']
['unknwon', 'process', '10.1.80.1:53883', 'socket', 'RESPONSE', 1727686772388907, '']
['10.1.80.1:36654', 'socket', 'unknwon', 'process', 'GET', 1727686772561616, '']
['10.1.80.1:36652', 'socket', 'unknwon', 'process', 'GET', 1727686772561794, '']
['unknwon', 'process', '10.1.80.1:36654', 'socket', 'RESPONSE', 1727686772561873, '']
['unknwon', 'process', '10.1.80.1:36652', 'socket', 'RESPONSE', 1727686772561943, '']
['10.1.80.1:35585', 'socket', 'unknwon', 'process', 'GET', 1727686772651347, '']
['unknwon', 'process', '10.1.80.1:35585', 'socket', 'RESPONSE', 1727686772651532, '']
['10.1.80.1:35584', 'socket', 'unknwon', 'process', 'GET', 1727686772651836, '']
['unknwon', 'process', '10.1.80.1:35584', 'socket', 'RESPONSE', 1727686772651933, '']
['10.1.80.1:37144', 'socket', 'unknwon', 'process', 'GET', 1727686772790115, '']
['10.1.80.1:37146', 'socket', 'unknwon', 'process', 'GET', 1727686772790311, '']
['unknwon', 'process', '10.1.80.1:37146', 'socket', 'RESPONSE', 1727686772790695, '']
['unknwon', 'process', '10.1.80.1:37144', 'socket', 'RESPONSE', 1727686772790816, '']
['10.1.80.1:53914', 'socket', 'unknwon', 'process', 'GET', 1727686774389378, '']
['unknwon', 'process', '10.1.80.1:53914', 'socket', 'RESPONSE', 1727686774389559, '']
['10.1.80.1:53915', 'socket', 'unknwon', 'process', 'GET', 1727686774389701, '']
['unknwon', 'process', '10.1.80.1:53915', 'socket', 'RESPONSE', 1727686774389998, '']
