['10.1.80.1:53276', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727657964388683, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:53276', 'socket', 'write', 1727657964388800, 'unknown']
['10.1.80.1:53274', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727657964388856, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:53274', 'socket', 'write', 1727657964388913, 'unknown']
['10.1.80.1:36044', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727657964561656, 'unknown']
['10.1.80.1:36046', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727657964561699, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:36046', 'socket', 'write', 1727657964562022, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:36044', 'socket', 'write', 1727657964562144, 'unknown']
['10.1.80.1:34976', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727657964650636, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:34976', 'socket', 'write', 1727657964650782, 'unknown']
['10.1.80.1:34978', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727657964650870, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:34978', 'socket', 'write', 1727657964651173, 'unknown']
['10.1.80.1:36532', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727657964789667, 'unknown']
['10.1.80.1:36534', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727657964789717, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:36534', 'socket', 'write', 1727657964790007, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:36532', 'socket', 'write', 1727657964790030, 'unknown']
['10.1.80.1:53298', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727657966389081, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:53298', 'socket', 'write', 1727657966389229, 'unknown']
['10.1.80.1:53299', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727657966389291, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:53299', 'socket', 'write', 1727657966390121, 'unknown']
['10.1.80.1:36068', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727657966561160, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:36068', 'socket', 'write', 1727657966561275, 'unknown']
['10.1.80.1:36069', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727657966561334, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:36069', 'socket', 'write', 1727657966561594, 'unknown']
['10.1.80.1:35001', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727657966651401, 'unknown']
['10.1.80.1:35000', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727657966651456, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:35000', 'socket', 'write', 1727657966651591, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:35001', 'socket', 'write', 1727657966651931, 'unknown']
['10.1.80.1:36556', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727657966789606, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:36556', 'socket', 'write', 1727657966789717, 'unknown']
['10.1.80.1:36557', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727657966789767, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:36557', 'socket', 'write', 1727657966790053, 'unknown']
['10.1.80.1:53326', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727657968389013, 'unknown']
['10.1.80.1:53327', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727657968389024, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:53327', 'socket', 'write', 1727657968389206, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:53326', 'socket', 'write', 1727657968390136, 'unknown']
['10.1.80.1:36098', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727657968561816, 'unknown']
['10.1.80.1:36100', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727657968561902, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:36100', 'socket', 'write', 1727657968562180, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:36098', 'socket', 'write', 1727657968562206, 'unknown']
['10.1.80.247:42436', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727657968611728, 'unknown']
['/usr/bin/fwatchdog', 'process', 'pipe:[273416759]', 'file', 'write', 1727657968611806, 'unknown']
['/usr/bin/fwatchdog', 'process', 'localhost:3000', 'socket', 'connect', 1727657968612006, 'unknown']
['localhost:3000', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727657968612099, 'unknown']
['/usr/bin/fwatchdog', 'process', 'localhost:3000', 'socket', 'write', 1727657968612199, 'unknown']
['localhost:3000', 'socket', '/usr/local/bin/node', 'process', 'read', 1727657968612438, 'unknown']
['/usr/local/bin/node', 'process', 'pipe:[273418164]', 'file', 'write', 1727657968612723, 'unknown']
['/etc/hosts', 'file', '/usr/local/bin/node', 'process', 'read', 1727657968613634, 'unknown']
['/etc/resolv.conf', 'file', '/usr/local/bin/node', 'process', 'read', 1727657968613653, 'unknown']
['/usr/local/bin/node', 'process', '10.152.183.10:53', 'socket', 'sendto', 1727657968613740, 'unknown']
['10.152.183.10:53', 'socket', '/usr/local/bin/node', 'process', 'recvfrom', 1727657968614383, 'unknown']
['/usr/local/bin/node', 'process', 'gateway:8080', 'socket', 'connect', 1727657968618419, 'unknown']
['10.1.80.247:44010', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727657968626309, 'unknown']
['/usr/bin/fwatchdog', 'process', 'pipe:[273416607]', 'file', 'write', 1727657968626421, 'unknown']
['localhost:3000', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727657968626884, 'unknown']
['/usr/bin/fwatchdog', 'process', 'localhost:3000', 'socket', 'connect', 1727657968626811, 'unknown']
['/usr/bin/fwatchdog', 'process', 'localhost:3000', 'socket', 'write', 1727657968626938, 'unknown']
['localhost:3000', 'socket', '/usr/local/bin/node', 'process', 'read', 1727657968627149, 'unknown']
['/usr/local/bin/node', 'process', 'pipe:[273417785]', 'file', 'write', 1727657968627453, 'unknown']
['/usr/bin/fwatchdog', 'process', 'pipe:[273416608]', 'file', 'write', 1727657968633179, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.247:44010', 'socket', 'write', 1727657968633581, 'unknown']
['/usr/bin/fwatchdog', 'process', 'pipe:[273416760]', 'file', 'write', 1727657968638161, 'unknown']
['gateway:8080', 'socket', '/usr/local/bin/node', 'process', 'read', 1727657968634388, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.247:42436', 'socket', 'write', 1727657968638760, 'unknown']
['10.1.80.247:42462', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727657968653974, 'unknown']
['10.1.80.1:35056', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727657968654559, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:35058', 'socket', 'write', 1727657968658137, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:35056', 'socket', 'write', 1727657968657920, 'unknown']
['10.1.80.1:35058', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727657968656796, 'unknown']
['10.1.80.247:42480', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727657968673523, 'unknown']
