['10.1.80.1:32930', 'socket', 'unknwon', 'process', 'GET', 1727687258389484, '']
['10.1.80.1:44394', 'socket', 'unknwon', 'process', 'GET', 1727687256790284, '']
['10.1.80.1:44395', 'socket', 'unknwon', 'process', 'GET', 1727687256790090, '']
['unknwon', 'process', '10.1.80.1:44394', 'socket', 'RESPONSE', 1727687256790452, '']
['10.1.80.1:32932', 'socket', 'unknwon', 'process', 'GET', 1727687258389298, '']
['unknwon', 'process', '10.1.80.1:44395', 'socket', 'RESPONSE', 1727687256790375, '']
['unknwon', 'process', '10.1.80.1:32930', 'socket', 'RESPONSE', 1727687258389575, '']
['unknwon', 'process', '10.1.80.1:32932', 'socket', 'RESPONSE', 1727687258389652, '']
['10.1.80.1:43933', 'socket', 'unknwon', 'process', 'GET', 1727687258561887, '']
['unknwon', 'process', '10.1.80.1:43933', 'socket', 'RESPONSE', 1727687258562080, '']
['10.1.80.1:43932', 'socket', 'unknwon', 'process', 'GET', 1727687258562437, '']
['unknwon', 'process', '10.1.80.1:43932', 'socket', 'RESPONSE', 1727687258562549, '']
['10.1.80.1:42864', 'socket', 'unknwon', 'process', 'GET', 1727687258651340, '']
['unknwon', 'process', '10.1.80.1:42864', 'socket', 'RESPONSE', 1727687258651524, '']
['10.1.80.1:42865', 'socket', 'unknwon', 'process', 'GET', 1727687258651727, '']
['unknwon', 'process', '10.1.80.1:42865', 'socket', 'RESPONSE', 1727687258651851, '']
['10.1.80.1:44420', 'socket', 'unknwon', 'process', 'GET', 1727687258789920, '']
['unknwon', 'process', '10.1.80.1:44420', 'socket', 'RESPONSE', 1727687258790103, '']
['10.1.80.1:44421', 'socket', 'unknwon', 'process', 'GET', 1727687258790317, '']
['unknwon', 'process', '10.1.80.1:44421', 'socket', 'RESPONSE', 1727687258790600, '']
['10.1.80.1:33176', 'socket', 'unknwon', 'process', 'GET', 1727687260388923, '']
['10.1.80.1:33174', 'socket', 'unknwon', 'process', 'GET', 1727687260389065, '']
['unknwon', 'process', '10.1.80.1:33176', 'socket', 'RESPONSE', 1727687260389291, '']
['unknwon', 'process', '10.1.80.1:33174', 'socket', 'RESPONSE', 1727687260389859, '']
['10.1.80.1:44254', 'socket', 'unknwon', 'process', 'GET', 1727687260561726, '']
['10.1.80.1:44252', 'socket', 'unknwon', 'process', 'GET', 1727687260561840, '']
['unknwon', 'process', '10.1.80.1:44252', 'socket', 'RESPONSE', 1727687260562863, '']
['unknwon', 'process', '10.1.80.1:44254', 'socket', 'RESPONSE', 1727687260562963, '']
['10.1.80.1:43228', 'socket', 'unknwon', 'process', 'GET', 1727687260651655, '']
['10.1.80.1:43227', 'socket', 'unknwon', 'process', 'GET', 1727687260651754, '']
['unknwon', 'process', '10.1.80.1:43227', 'socket', 'RESPONSE', 1727687260653264, '']
['unknwon', 'process', '10.1.80.1:43228', 'socket', 'RESPONSE', 1727687260658315, '']
['10.1.80.1:44836', 'socket', 'unknwon', 'process', 'GET', 1727687260790904, '']
['10.1.80.1:44834', 'socket', 'unknwon', 'process', 'GET', 1727687260791023, '']
['unknwon', 'process', '10.1.80.1:44836', 'socket', 'RESPONSE', 1727687260791972, '']
['unknwon', 'process', '10.1.80.1:44834', 'socket', 'RESPONSE', 1727687260792697, '']
['10.1.80.1:33419', 'socket', 'unknwon', 'process', 'GET', 1727687262389250, '']
['unknwon', 'process', '10.1.80.1:33419', 'socket', 'RESPONSE', 1727687262389437, '']
['10.1.80.1:33418', 'socket', 'unknwon', 'process', 'GET', 1727687262389752, '']
['unknwon', 'process', '10.1.80.1:33418', 'socket', 'RESPONSE', 1727687262390056, '']
['10.1.80.1:44420', 'socket', 'unknwon', 'process', 'GET', 1727687262561532, '']
['unknwon', 'process', '10.1.80.1:44420', 'socket', 'RESPONSE', 1727687262561724, '']
['10.1.80.1:44421', 'socket', 'unknwon', 'process', 'GET', 1727687262561809, '']
['unknwon', 'process', '10.1.80.1:44421', 'socket', 'RESPONSE', 1727687262562070, '']
['10.1.80.1:43354', 'socket', 'unknwon', 'process', 'GET', 1727687262651419, '']
['unknwon', 'process', '10.1.80.1:43354', 'socket', 'RESPONSE', 1727687262651836, '']
['10.1.80.1:43352', 'socket', 'unknwon', 'process', 'GET', 1727687262652046, '']
['unknwon', 'process', '10.1.80.1:43352', 'socket', 'RESPONSE', 1727687262652290, '']
['10.1.80.1:44914', 'socket', 'unknwon', 'process', 'GET', 1727687262789966, '']
['10.1.80.1:44912', 'socket', 'unknwon', 'process', 'GET', 1727687262790170, '']
['unknwon', 'process', '10.1.80.1:44914', 'socket', 'RESPONSE', 1727687262790251, '']
['unknwon', 'process', '10.1.80.1:44912', 'socket', 'RESPONSE', 1727687262790323, '']
['10.1.80.1:33450', 'socket', 'unknwon', 'process', 'GET', 1727687264388950, '']
['unknwon', 'process', '10.1.80.1:33450', 'socket', 'RESPONSE', 1727687264389185, '']
['10.1.80.1:33452', 'socket', 'unknwon', 'process', 'GET', 1727687264389805, '']
['10.1.80.1:44452', 'socket', 'unknwon', 'process', 'GET', 1727687264562051, '']
['10.1.80.1:44453', 'socket', 'unknwon', 'process', 'GET', 1727687264562238, '']
['unknwon', 'process', '10.1.80.1:33452', 'socket', 'RESPONSE', 1727687264390078, '']
