['10.1.80.1:32904', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658456389423, 'unknown']
['10.1.80.1:32906', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658456389752, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:32906', 'socket', 'write', 1727658456390187, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:32904', 'socket', 'write', 1727658456390436, 'unknown']
['10.1.80.1:43908', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658456561324, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:43908', 'socket', 'write', 1727658456561474, 'unknown']
['10.1.80.1:43906', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658456561535, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:43906', 'socket', 'write', 1727658456561599, 'unknown']
['10.1.80.1:42839', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658456651713, 'unknown']
['10.1.80.1:42838', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658456651813, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:42839', 'socket', 'write', 1727658456651866, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:42838', 'socket', 'write', 1727658456651912, 'unknown']
['10.1.80.1:44395', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658456790166, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:44395', 'socket', 'write', 1727658456790314, 'unknown']
['10.1.80.1:44394', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658456790375, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:44394', 'socket', 'write', 1727658456790440, 'unknown']
['10.1.80.1:32932', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658458388935, 'unknown']
['10.1.80.1:32930', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658458388952, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:32930', 'socket', 'write', 1727658458389308, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:32932', 'socket', 'write', 1727658458389407, 'unknown']
['10.1.80.1:43933', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658458561708, 'unknown']
['10.1.80.1:43932', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658458561719, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:43933', 'socket', 'write', 1727658458561901, 'unknown']
['10.1.80.1:42865', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658458651159, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:43932', 'socket', 'write', 1727658458562425, 'unknown']
['10.1.80.1:42864', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658458651175, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:42864', 'socket', 'write', 1727658458651371, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:42865', 'socket', 'write', 1727658458651764, 'unknown']
['10.1.80.1:44421', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658458789833, 'unknown']
