['10.1.80.1:42006', 'socket', 'unknwon', 'process', 'GET', 1727687754388700, '']
['10.1.80.1:42008', 'socket', 'unknwon', 'process', 'GET', 1727687754389233, '']
['unknwon', 'process', '10.1.80.1:42008', 'socket', 'RESPONSE', 1727687754389306, '']
['unknwon', 'process', '10.1.80.1:42006', 'socket', 'RESPONSE', 1727687754389140, '']
['10.1.80.1:51940', 'socket', 'unknwon', 'process', 'GET', 1727687754651689, '']
['unknwon', 'process', '10.1.80.1:51940', 'socket', 'RESPONSE', 1727687754651877, '']
['unknwon', 'process', '10.1.80.1:53009', 'socket', 'RESPONSE', 1727687754562117, '']
['10.1.80.1:53009', 'socket', 'unknwon', 'process', 'GET', 1727687754562033, '']
['10.1.80.1:53008', 'socket', 'unknwon', 'process', 'GET', 1727687754561714, '']
['unknwon', 'process', '10.1.80.1:53008', 'socket', 'RESPONSE', 1727687754561897, '']
['10.1.80.1:51942', 'socket', 'unknwon', 'process', 'GET', 1727687754652158, '']
['unknwon', 'process', '10.1.80.1:51942', 'socket', 'RESPONSE', 1727687754652291, '']
['10.1.80.1:53498', 'socket', 'unknwon', 'process', 'GET', 1727687754790077, '']
['unknwon', 'process', '10.1.80.1:53498', 'socket', 'RESPONSE', 1727687754790506, '']
['10.1.80.1:53496', 'socket', 'unknwon', 'process', 'GET', 1727687754790700, '']
['unknwon', 'process', '10.1.80.1:53496', 'socket', 'RESPONSE', 1727687754791000, '']
['10.1.80.1:42031', 'socket', 'unknwon', 'process', 'GET', 1727687756390906, '']
['10.1.80.1:51966', 'socket', 'unknwon', 'process', 'GET', 1727687756651759, '']
['unknwon', 'process', '10.1.80.1:42031', 'socket', 'RESPONSE', 1727687756391092, '']
['10.1.80.1:42030', 'socket', 'unknwon', 'process', 'GET', 1727687756391357, '']
['unknwon', 'process', '10.1.80.1:42030', 'socket', 'RESPONSE', 1727687756391449, '']
['10.1.80.1:53034', 'socket', 'unknwon', 'process', 'GET', 1727687756561900, '']
['10.1.80.1:53032', 'socket', 'unknwon', 'process', 'GET', 1727687756562343, '']
['unknwon', 'process', '10.1.80.1:53034', 'socket', 'RESPONSE', 1727687756562972, '']
['unknwon', 'process', '10.1.80.1:53032', 'socket', 'RESPONSE', 1727687756563069, '']
['10.1.80.1:51968', 'socket', 'unknwon', 'process', 'GET', 1727687756652316, '']
['unknwon', 'process', '10.1.80.1:51966', 'socket', 'RESPONSE', 1727687756652410, '']
['unknwon', 'process', '10.1.80.1:51968', 'socket', 'RESPONSE', 1727687756652484, '']
['10.1.80.1:53524', 'socket', 'unknwon', 'process', 'GET', 1727687756790215, '']
['unknwon', 'process', '10.1.80.1:53524', 'socket', 'RESPONSE', 1727687756790686, '']
['10.1.80.1:53522', 'socket', 'unknwon', 'process', 'GET', 1727687756790952, '']
['unknwon', 'process', '10.1.80.1:53522', 'socket', 'RESPONSE', 1727687756791219, '']
['10.1.80.1:42674', 'socket', 'unknwon', 'process', 'GET', 1727687758388767, '']
['10.1.80.1:42672', 'socket', 'unknwon', 'process', 'GET', 1727687758388871, '']
